model,inquiry_id,split,valid,validation_error,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-pq-01,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.9,1491.359,723,135,0.0
deepseek-chat,golden-pq-02,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1797.326,721,181,0.0
deepseek-chat,golden-pq-03,golden,True,,POLICY_QUERY,POLICY_QUERY,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1372.53,721,156,0.0
deepseek-chat,golden-pq-04,golden,True,,POLICY_QUERY,POLICY_QUERY,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1621.732,724,172,0.0
deepseek-chat,golden-pq-05,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1853.5,729,223,0.0
deepseek-chat,golden-pb-01,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1326.8,720,177,0.0
deepseek-chat,golden-pb-02,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1942.111,722,217,0.0
deepseek-chat,golden-pb-03,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.9,1430.501,719,150,0.0
deepseek-chat,golden-pb-04,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1637.324,721,192,0.0
deepseek-chat,golden-pb-05,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1225.685,725,181,0.0
deepseek-chat,golden-ac-01,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.82,1427.257,717,162,0.0
deepseek-chat,golden-ac-02,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.82,1506.935,724,146,0.0
deepseek-chat,golden-ac-03,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.9,1768.184,726,191,0.0
deepseek-chat,golden-ac-04,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1568.454,730,191,0.0
deepseek-chat,golden-ac-05,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.9,1186.886,724,146,0.0
deepseek-chat,golden-cl-01,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.78,1636.897,718,203,0.0
deepseek-chat,golden-cl-02,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1577.566,718,168,0.0
deepseek-chat,golden-cl-03,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,2002.411,718,222,0.0
deepseek-chat,golden-cl-04,golden,True,,CLAIM,CLAIM,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1510.27,718,182,0.0
